Air submersion.                                                               19-09-2019
                                                                                       |
e: Nuclide-specific effective dose rate coefficient          (nSv h-1 Bq-1 m3)         |
h: Nuclide-specific ambient dose equivalent rate coefficient (nSv h-1 Bq-1 m3)         |
k: Nuclide-specific air kerma free in air rate coefficient   (nGy h-1 Bq-1 m3)         |
----------------------------------------------------------------------------------------
                e                                                     h        k       |
Nuclide             Adult    15 yr    10 yr     5 yr     1 yr  Newborn                 |
----------------------------------------------------------------------------------------
Cd-103           3.53E-01 3.67E-01 3.71E-01 3.88E-01 3.97E-01 4.17E-01 5.85E-01 4.78E-01
Cd-104           3.37E-02 3.51E-02 3.60E-02 3.83E-02 3.99E-02 4.19E-02 6.97E-02 5.40E-02
Cd-105           2.15E-01 2.24E-01 2.26E-01 2.37E-01 2.43E-01 2.55E-01 3.65E-01 2.96E-01
Cd-107           1.58E-03 1.69E-03 1.78E-03 1.95E-03 2.06E-03 2.45E-03 7.00E-03 7.65E-03
Cd-109           7.15E-04 7.92E-04 8.47E-04 9.66E-04 1.03E-03 1.35E-03 5.10E-03 6.09E-03
Cd-111m          3.84E-02 4.08E-02 4.23E-02 4.51E-02 4.61E-02 4.84E-02 8.64E-02 5.91E-02
Cd-113           6.54E-05 6.91E-05 6.85E-05 6.94E-05 7.05E-05 6.91E-05 1.38E-05 1.42E-05
Cd-113m          2.84E-04 2.87E-04 2.85E-04 2.86E-04 2.87E-04 2.78E-04 7.75E-05 6.44E-05
Cd-115           2.92E-02 3.01E-02 3.12E-02 3.31E-02 3.41E-02 3.57E-02 5.60E-02 4.19E-02
Cd-115m          7.06E-03 7.11E-03 7.41E-03 7.66E-03 8.22E-03 9.30E-03 9.86E-03 7.92E-03
Cd-117           1.79E-01 1.88E-01 1.90E-01 1.98E-01 2.04E-01 2.15E-01 3.07E-01 2.46E-01
Cd-117m          3.50E-01 3.65E-01 3.67E-01 3.83E-01 3.92E-01 4.12E-01 5.71E-01 4.71E-01
Cd-118           2.18E-04 2.22E-04 2.19E-04 2.21E-04 2.22E-04 2.13E-04 4.34E-05 3.85E-05
Cd-119           2.82E-01 2.94E-01 2.97E-01 3.10E-01 3.18E-01 3.35E-01 4.62E-01 3.77E-01
Cd-119m          3.95E-01 4.12E-01 4.14E-01 4.33E-01 4.43E-01 4.67E-01 6.45E-01 5.31E-01
Ce-130           7.15E-02 7.51E-02 7.70E-02 8.16E-02 8.43E-02 8.90E-02 1.44E-01 1.07E-01
Ce-131           2.55E-01 2.65E-01 2.72E-01 2.87E-01 2.96E-01 3.12E-01 4.67E-01 3.61E-01
Ce-132           3.47E-02 3.69E-02 3.83E-02 4.10E-02 4.22E-02 4.47E-02 8.13E-02 5.55E-02
Ce-133           7.53E-02 7.79E-02 8.12E-02 8.66E-02 9.01E-02 9.52E-02 1.55E-01 1.15E-01
Ce-133m          2.76E-01 2.87E-01 2.92E-01 3.07E-01 3.16E-01 3.32E-01 4.92E-01 3.89E-01
Ce-134           1.30E-03 1.45E-03 1.59E-03 1.89E-03 2.03E-03 2.55E-03 6.81E-03 5.50E-03
Ce-135           1.21E-01 1.26E-01 1.30E-01 1.38E-01 1.42E-01 1.49E-01 2.38E-01 1.79E-01
Ce-137           2.75E-03 2.95E-03 3.14E-03 3.54E-03 3.73E-03 4.33E-03 9.69E-03 7.71E-03
Ce-137m          6.28E-03 6.69E-03 6.94E-03 7.54E-03 7.79E-03 8.45E-03 1.57E-02 1.15E-02
Ce-139           1.85E-02 1.97E-02 2.06E-02 2.21E-02 2.29E-02 2.46E-02 4.69E-02 3.14E-02
Ce-141           9.46E-03 1.00E-02 1.05E-02 1.12E-02 1.17E-02 1.24E-02 2.28E-02 1.47E-02
Ce-143           3.96E-02 4.14E-02 4.28E-02 4.55E-02 4.70E-02 4.97E-02 8.21E-02 5.99E-02
Ce-144           2.17E-03 2.31E-03 2.43E-03 2.62E-03 2.76E-03 2.95E-03 5.61E-03 3.62E-03
Ce-145           1.25E-01 1.30E-01 1.33E-01 1.40E-01 1.45E-01 1.54E-01 2.33E-01 1.80E-01
Cf-244           1.63E-05 1.82E-05 2.03E-05 2.44E-05 2.47E-05 4.07E-05 2.31E-04 4.84E-04
